Country,Happiness.Rank,Happiness.Score,CountryName,CapitalLatitude,CapitalLongitude
Norway,1.0,7.537000179290769,Norway,59.91666666666666,10.75
Denmark,2.0,7.52199983596802,Denmark,55.66666666666666,12.583333
Iceland,3.0,7.50400018692017,Iceland,64.15,-21.95
Switzerland,4.0,7.49399995803833,Switzerland,46.91666666666666,7.466667
Finland,5.0,7.468999862670901,Finland,60.16666666666666,24.933332999999998
Netherlands,6.0,7.3769998550415,Netherlands,52.35,4.9166669999999995
Canada,7.0,7.31599998474121,Canada,45.41666666666666,-75.7
New Zealand,8.0,7.31400012969971,New Zealand,-41.3,174.783333
Sweden,9.0,7.28399991989136,Sweden,59.33333333333334,18.05
Australia,10.0,7.28399991989136,Australia,-35.266666666666666,149.133333
Israel,11.0,7.212999820709231,Israel,31.766666666666666,35.233333
Costa Rica,12.0,7.0789999961853,Costa Rica,9.933333333333334,-84.083333
Austria,13.0,7.00600004196167,Austria,48.2,16.366667
United States,14.0,6.993000030517581,United States,38.883333,-77.0
Ireland,15.0,6.9770002365112305,Ireland,53.31666666666667,-6.233333
Germany,16.0,6.9510002136230495,Germany,52.51666666666666,13.4
Belgium,17.0,6.89099979400635,Belgium,50.83333333333334,4.3333330000000005
Luxembourg,18.0,6.86299991607666,Luxembourg,49.6,6.116667
United Kingdom,19.0,6.71400022506714,United Kingdom,51.5,-0.083333
Chile,20.0,6.65199995040894,Chile,-33.45,-70.666667
United Arab Emirates,21.0,6.6479997634887695,United Arab Emirates,24.466666666666665,54.36666700000001
Brazil,22.0,6.6350002288818395,Brazil,-15.783333333333333,-47.916667
Czech Republic,23.0,6.60900020599365,Czech Republic,50.08333333333334,14.466667000000001
Argentina,24.0,6.59899997711182,Argentina,-34.583333333333336,-58.666667000000004
Mexico,25.0,6.57800006866455,Mexico,19.433333333333334,-99.133333
Singapore,26.0,6.57200002670288,Singapore,1.2833333333333332,103.85
Malta,27.0,6.52699995040894,Malta,35.88333333333333,14.5
Uruguay,28.0,6.4539999961853,Uruguay,-34.85,-56.166667000000004
Guatemala,29.0,6.4539999961853,Guatemala,14.616666666666667,-90.516667
Panama,30.0,6.4520001411438,Panama,8.966666666666667,-79.533333
France,31.0,6.44199991226196,France,48.86666666666667,2.333333
Thailand,32.0,6.4239997863769505,Thailand,13.75,100.516667
Spain,34.0,6.40299987792969,Spain,40.4,-3.683333
Qatar,35.0,6.375,Qatar,25.28333333333333,51.533333
Colombia,36.0,6.35699987411499,Colombia,4.6,-74.083333
Saudi Arabia,37.0,6.343999862670901,Saudi Arabia,24.65,46.7
Trinidad and Tobago,38.0,6.1680002212524405,Trinidad and Tobago,10.65,-61.516667000000005
Kuwait,39.0,6.10500001907349,Kuwait,29.36666666666667,47.966667
Slovakia,40.0,6.09800004959106,Slovakia,48.15,17.116667
Bahrain,41.0,6.08699989318848,Bahrain,26.23333333333333,50.566666999999995
Malaysia,42.0,6.08400011062622,Malaysia,3.1666666666666665,101.7
Nicaragua,43.0,6.07100009918213,Nicaragua,12.133333333333333,-86.25
Ecuador,44.0,6.00799989700317,Ecuador,-0.21666666666666667,-78.5
El Salvador,45.0,6.002999782562259,El Salvador,13.7,-89.2
Poland,46.0,5.97300004959106,Poland,52.25,21.0
Uzbekistan,47.0,5.97100019454956,Uzbekistan,41.31666666666667,69.25
Italy,48.0,5.96400022506714,Italy,41.9,12.483333
Russia,49.0,5.962999820709231,Russia,55.75,37.6
Belize,50.0,5.955999851226809,Belize,17.25,-88.766667
Japan,51.0,5.92000007629395,Japan,35.68333333333333,139.75
Lithuania,52.0,5.90199995040894,Lithuania,54.68333333333333,25.316667000000002
Algeria,53.0,5.872000217437741,Algeria,36.75,3.05
Latvia,54.0,5.849999904632571,Latvia,56.95,24.1
South Korea,55.0,5.837999820709231,South Korea,37.55,126.983333
Moldova,56.0,5.837999820709231,Moldova,47.0,28.85
Romania,57.0,5.824999809265139,Romania,44.43333333333333,26.1
Bolivia,58.0,5.82299995422363,Bolivia,-16.5,-68.15
Turkmenistan,59.0,5.82200002670288,Turkmenistan,37.95,58.38333299999999
Kazakhstan,60.0,5.8189997673034695,Kazakhstan,51.16666666666666,71.416667
Slovenia,62.0,5.75799989700317,Slovenia,46.05,14.516667000000002
Peru,63.0,5.71500015258789,Peru,-12.05,-77.05
Mauritius,64.0,5.62900018692017,Mauritius,-20.15,57.483332999999995
Cyprus,65.0,5.62099981307983,Cyprus,35.166666666666664,33.366667
Estonia,66.0,5.61100006103516,Estonia,59.43333333333333,24.716667
Belarus,67.0,5.5689997673034695,Belarus,53.9,27.566667
Libya,68.0,5.525000095367429,Libya,32.88333333333333,13.166667000000002
Turkey,69.0,5.5,Turkey,39.93333333333333,32.866667
Paraguay,70.0,5.493000030517581,Paraguay,-25.266666666666666,-57.666667000000004
Philippines,72.0,5.42999982833862,Philippines,14.6,120.96666699999999
Serbia,73.0,5.39499998092651,Serbia,44.83333333333334,20.5
Jordan,74.0,5.33599996566772,Jordan,31.95,35.933333000000005
Hungary,75.0,5.32399988174438,Hungary,47.5,19.083333
Jamaica,76.0,5.31099987030029,Jamaica,18.0,-76.8
Croatia,77.0,5.2930002212524405,Croatia,45.8,16.0
Kosovo,78.0,5.27899980545044,Kosovo,42.66666666666666,21.166667
China,79.0,5.2729997634887695,China,39.91666666666666,116.38333300000001
Pakistan,80.0,5.26900005340576,Pakistan,33.68333333333333,73.05
Indonesia,81.0,5.26200008392334,Indonesia,-6.166666666666668,106.816667
Venezuela,82.0,5.25,Venezuela,10.483333333333333,-66.866667
Montenegro,83.0,5.23699998855591,Montenegro,42.43333333333333,19.266667
Morocco,84.0,5.2350001335144,Morocco,34.016666666666666,-6.816667
Azerbaijan,85.0,5.234000205993651,Azerbaijan,40.38333333333333,49.866667
Dominican Republic,86.0,5.230000019073491,Dominican Republic,18.466666666666665,-69.9
Greece,87.0,5.2270002365112305,Greece,37.98333333333333,23.733333
Lebanon,88.0,5.22499990463257,Lebanon,33.86666666666667,35.5
Portugal,89.0,5.19500017166138,Portugal,38.71666666666667,-9.133333
Bosnia and Herzegovina,90.0,5.18200016021729,Bosnia and Herzegovina,43.86666666666667,18.416667
Honduras,91.0,5.1810002326965305,Honduras,14.1,-87.216667
Macedonia,92.0,5.175000190734861,Macedonia,42.0,21.433332999999998
Somalia,93.0,5.151000022888179,Somalia,2.066666666666667,45.333333
Vietnam,94.0,5.07399988174438,Vietnam,21.03333333333333,105.85
Nigeria,95.0,5.07399988174438,Nigeria,9.083333333333334,7.533333
Tajikistan,96.0,5.04099988937378,Tajikistan,38.55,68.766667
Bhutan,97.0,5.01100015640259,Bhutan,27.466666666666665,89.633333
Kyrgyzstan,98.0,5.0040001869201705,Kyrgyzstan,42.86666666666667,74.6
Nepal,99.0,4.961999893188481,Nepal,27.716666666666665,85.31666700000001
Mongolia,100.0,4.95499992370605,Mongolia,47.91666666666666,106.91666699999999
South Africa,101.0,4.8289999961853,South Africa,-25.7,28.216666999999998
Tunisia,102.0,4.80499982833862,Tunisia,36.8,10.183333
Egypt,104.0,4.7350001335144,Egypt,30.05,31.25
Bulgaria,105.0,4.71400022506714,Bulgaria,42.68333333333333,23.316667000000002
Sierra Leone,106.0,4.70900011062622,Sierra Leone,8.483333333333333,-13.233332999999998
Cameroon,107.0,4.69500017166138,Cameroon,3.8666666666666663,11.516667
Iran,108.0,4.69199991226196,Iran,35.7,51.416667
Albania,109.0,4.64400005340576,Albania,41.31666666666667,19.816667000000002
Bangladesh,110.0,4.60799980163574,Bangladesh,23.716666666666665,90.4
Namibia,111.0,4.57399988174438,Namibia,-22.566666666666666,17.083333
Kenya,112.0,4.55299997329712,Kenya,-1.2833333333333332,36.816666999999995
Mozambique,113.0,4.550000190734861,Mozambique,-25.95,32.583333
Myanmar,114.0,4.54500007629395,Myanmar,16.8,96.15
Senegal,115.0,4.53499984741211,Senegal,14.733333333333333,-17.633333
Zambia,116.0,4.513999938964839,Zambia,-15.416666666666664,28.283333000000002
Iraq,117.0,4.49700021743774,Iraq,33.333333333333336,44.4
Gabon,118.0,4.46500015258789,Gabon,0.38333333333333336,9.45
Ethiopia,119.0,4.46000003814697,Ethiopia,9.033333333333333,38.7
Sri Lanka,120.0,4.44000005722046,Sri Lanka,6.916666666666668,79.833333
Armenia,121.0,4.37599992752075,Armenia,40.16666666666666,44.5
India,122.0,4.31500005722046,India,28.6,77.2
Mauritania,123.0,4.29199981689453,Mauritania,18.066666666666666,-15.966667000000001
Georgia,125.0,4.28599977493286,Georgia,41.68333333333333,44.833333
Mali,127.0,4.19000005722046,Mali,12.65,-8.0
Cambodia,129.0,4.1680002212524405,Cambodia,11.55,104.91666699999999
Sudan,130.0,4.138999938964839,Sudan,15.6,32.533333
Ghana,131.0,4.11999988555908,Ghana,5.55,-0.216667
Ukraine,132.0,4.09600019454956,Ukraine,50.43333333333333,30.516666999999998
Uganda,133.0,4.08099985122681,Uganda,0.31666666666666665,32.55
Burkina Faso,134.0,4.03200006484985,Burkina Faso,12.366666666666667,-1.516667
Niger,135.0,4.02799987792969,Niger,13.516666666666667,2.1166669999999996
Malawi,136.0,3.97000002861023,Malawi,-13.966666666666667,33.783333
Chad,137.0,3.9360001087188703,Chad,12.1,15.033332999999999
Zimbabwe,138.0,3.875,Zimbabwe,-17.816666666666666,31.033333000000002
Lesotho,139.0,3.80800008773804,Lesotho,-29.316666666666666,27.483333000000002
Angola,140.0,3.79500007629395,Angola,-8.833333333333334,13.216667000000001
Afghanistan,141.0,3.7939999103546103,Afghanistan,34.516666666666666,69.18333299999999
Botswana,142.0,3.7660000324249303,Botswana,-24.63333333333333,25.9
Benin,143.0,3.65700006484985,Benin,6.4833333333333325,2.6166669999999996
Madagascar,144.0,3.64400005340576,Madagascar,-18.916666666666668,47.516667
Haiti,145.0,3.6029999256133998,Haiti,18.53333333333333,-72.333333
Yemen,146.0,3.59299993515015,Yemen,15.35,44.2
South Sudan,147.0,3.5910000801086404,South Sudan,4.85,31.616667
Liberia,148.0,3.5329999923706095,Liberia,6.3,-10.8
Guinea,149.0,3.50699996948242,Guinea,9.5,-13.7
Togo,150.0,3.4949998855590803,Togo,6.116666666666666,1.216667
Rwanda,151.0,3.47099995613098,Rwanda,-1.95,30.05
Syria,152.0,3.46199989318848,Syria,33.5,36.3
Tanzania,153.0,3.34899997711182,Tanzania,-6.8,39.283333
Burundi,154.0,2.90499997138977,Burundi,-3.3666666666666667,29.35
Central African Republic,155.0,2.69300007820129,Central African Republic,4.366666666666666,18.583333
